GAME_ID,GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,HOME_TEAM_SCORE,VISITOR_TEAM_SCORE
0022400073,,1610612764,1610612738,102,122
0022400074,,1610612742,1610612759,120,109
0022400075,,1610612743,1610612760,87,102
0022400076,,1610612758,1610612750,115,117
0022400077,,1610612753,1610612751,116,101
0022400078,,1610612761,1610612755,115,107
0022400079,,1610612737,1610612766,125,120
0022400080,,1610612739,1610612765,113,101
0022400081,,1610612752,1610612754,123,98
0022400082,,1610612745,1610612763,128,108
0022400083,,1610612749,1610612741,122,133
0022400084,,1610612762,1610612744,86,127
0022400085,,1610612747,1610612756,123,116
0022400086,,1610612757,1610612740,103,105
0022400087,,1610612743,1610612746,104,109
0022400088,,1610612766,1610612748,106,114
0022400089,,1610612765,1610612738,118,124
0022400090,,1610612764,1610612739,116,135
0022400091,,1610612741,1610612760,95,114
0022400092,,1610612763,1610612753,124,111
0022400093,,1610612750,1610612761,112,101
0022400094,,1610612759,1610612745,109,106
0022400095,,1610612756,1610612742,114,102
0022400096,,1610612747,1610612758,131,127
0022400097,,1610612754,1610612755,114,118
0022400098,,1610612751,1610612749,115,102
0022400099,,1610612757,1610612740,125,103
0022400100,,1610612760,1610612737,128,104
0022400101,,1610612744,1610612746,104,112
0022400102,,1610612753,1610612754,119,115
0022400103,,1610612737,1610612764,119,121
0022400104,,1610612738,1610612749,119,108
0022400105,,1610612748,1610612765,106,98
0022400106,,1610612752,1610612739,104,110
0022400107,,1610612761,1610612743,125,127
0022400108,,1610612763,1610612741,123,126
0022400109,,1610612759,1610612745,101,106
0022400110,,1610612742,1610612762,110,102
0022400111,,1610612756,1610612747,109,105
0022400112,,1610612758,1610612757,111,98
0022400113,,1610612751,1610612743,139,144
0022400114,,1610612750,1610612742,114,120
0022400115,,1610612762,1610612758,96,113
0022400116,,1610612744,1610612740,124,106
0022400117,,1610612766,1610612761,138,133
0022400118,,1610612739,1610612747,134,110
0022400119,,1610612754,1610612738,135,132
0022400120,,1610612755,1610612765,95,105
0022400121,,1610612764,1610612737,133,120
0022400122,,1610612748,1610612752,107,116
0022400123,,1610612741,1610612753,102,99
0022400124,,1610612763,1610612751,106,119
0022400125,,1610612760,1610612759,105,93
0022400126,,1610612744,1610612740,104,89
0022400127,,1610612746,1610612757,105,106
0022400128,,1610612763,1610612749,122,99
0022400129,,1610612742,1610612745,102,108
0022400130,,1610612762,1610612759,88,106
0022400131,,1610612746,1610612756,119,125
0022400132,,1610612766,1610612738,109,124
0022400133,,1610612739,1610612753,120,109
0022400134,,1610612765,1610612752,98,128
0022400135,,1610612737,1610612758,115,123
0022400136,,1610612751,1610612741,120,112
0022400137,,1610612761,1610612747,125,131
0022400138,,1610612740,1610612754,125,118
0022400139,,1610612750,1610612743,119,116
0022400140,,1610612757,1610612760,114,137
0022400141,,1610612766,1610612738,103,113
0022400142,,1610612755,1610612763,107,124
0022400143,,1610612761,1610612758,131,128
0022400144,,1610612745,1610612744,121,127
0022400145,,1610612749,1610612739,113,114
0022400146,,1610612759,1610612750,113,103
0022400147,,1610612764,1610612748,98,118
0022400148,,1610612743,1610612762,129,103
0022400149,,1610612756,1610612757,103,97
0022400150,,1610612746,1610612760,92,105
0022400151,,1610612751,1610612765,92,106
0022400152,,1610612740,1610612737,111,126
0022400153,,1610612742,1610612753,108,85
0022400154,,1610612739,1610612749,116,114
0022400155,,1610612764,1610612744,112,125
0022400156,,1610612765,1610612747,115,103
0022400157,,1610612737,1610612738,93,123
0022400158,,1610612751,1610612763,106,104
0022400159,,1610612748,1610612758,110,111
0022400160,,1610612741,1610612762,126,135
0022400161,,1610612745,1610612752,109,97
0022400162,,1610612750,1610612766,114,93
0022400163,,1610612760,1610612753,102,86
0022400164,,1610612740,1610612757,100,118
0022400165,,1610612742,1610612754,127,134
0022400166,,1610612743,1610612761,121,119
0022400167,,1610612756,1610612755,118,116
0022400168,,1610612746,1610612759,113,104
0022400169,,1610612766,1610612765,108,107
0022400170,,1610612754,1610612753,118,111
0022400171,,1610612737,1610612752,121,116
0022400172,,1610612738,1610612744,112,118
0022400173,,1610612745,1610612759,127,100
0022400174,,1610612763,1610612747,131,114
0022400175,,1610612740,1610612739,122,131
0022400176,,1610612742,1610612741,119,99
0022400177,,1610612743,1610612760,124,122
0022400178,,1610612756,1610612748,115,112
0022400179,,1610612746,1610612755,110,98
0022400180,,1610612758,1610612761,122,107
0022400181,,1610612741,1610612750,119,135
0022400182,,1610612749,1610612762,123,100
0022400183,,1610612759,1610612757,118,105
0022400184,,1610612766,1610612754,103,83
0022400185,,1610612765,1610612737,122,121
0022400186,,1610612753,1610612740,115,88
0022400187,,1610612738,1610612751,108,104
0022400188,,1610612739,1610612744,136,117
0022400189,,1610612752,1610612749,116,94
0022400190,,1610612742,1610612756,113,114
0022400191,,1610612763,1610612764,128,104
0022400192,,1610612760,1610612745,126,107
0022400193,,1610612750,1610612757,127,102
0022400194,,1610612743,1610612748,135,122
0022400195,,1610612747,1610612755,116,106
0022400196,,1610612758,1610612746,98,107
0022400197,,1610612759,1610612762,110,111
0022400198,,1610612737,1610612741,113,125
0022400199,,1610612739,1610612751,105,100
0022400200,,1610612746,1610612761,105,103
0022400201,,1610612765,1610612745,99,101
0022400202,,1610612749,1610612738,107,113
0022400203,,1610612754,1610612752,132,121
0022400204,,1610612753,1610612764,121,94
0022400205,,1610612755,1610612766,107,105
0022400206,,1610612750,1610612748,94,95
0022400207,,1610612760,1610612744,116,127
0022400208,,1610612743,1610612742,122,120
0022400209,,1610612756,1610612758,118,127
0022400210,,1610612757,1610612763,89,134
0022400211,,1610612747,1610612761,123,103
0022400212,,1610612741,1610612739,113,119
0022400213,,1610612745,1610612764,107,92
0022400214,,1610612740,1610612751,105,107
0022400215,,1610612760,1610612746,134,128
0022400216,,1610612759,1610612758,116,96
0022400001,,1610612738,1610612737,116,117
0022400002,,1610612765,1610612748,123,121
0022400003,,1610612753,1610612766,114,89
0022400004,,1610612755,1610612752,99,111
0022400005,,1610612749,1610612761,99,85
0022400006,,1610612762,1610612756,112,120
0022400007,,1610612744,1610612742,120,117
0022400008,,1610612757,1610612750,122,108
0022400217,,1610612753,1610612754,94,90
0022400218,,1610612751,1610612738,114,139
0022400219,,1610612752,1610612741,123,124
0022400220,,1610612755,1610612739,106,114
0022400221,,1610612760,1610612740,106,88
0022400222,,1610612745,1610612746,111,103
0022400223,,1610612749,1610612765,127,120
0022400224,,1610612759,1610612764,139,130
0022400225,,1610612747,1610612763,128,123
0022400226,,1610612757,1610612750,106,98
0022400227,,1610612758,1610612756,127,104
0022400228,,1610612762,1610612742,115,113
0022400009,,1610612754,1610612748,111,124
0022400010,,1610612753,1610612755,98,86
0022400011,,1610612761,1610612765,95,99
0022400012,,1610612737,1610612764,129,117
0022400013,,1610612739,1610612741,144,126
0022400014,,1610612752,1610612751,124,122
0022400015,,1610612759,1610612747,115,120
0022400016,,1610612745,1610612746,125,104
0022400017,,1610612740,1610612743,101,94
0022400018,,1610612760,1610612756,99,83
0022400019,,1610612744,1610612763,123,118
0022400020,,1610612758,1610612750,126,130
0022400229,,1610612766,1610612749,115,114
0022400230,,1610612738,1610612761,126,123
0022400231,,1610612740,1610612747,99,104
0022400232,,1610612742,1610612759,110,93
0022400233,,1610612758,1610612762,121,117
0022400234,,1610612750,1610612756,120,117
0022400235,,1610612754,1610612748,119,110
0022400236,,1610612739,1610612766,128,114
0022400237,,1610612764,1610612765,104,124
0022400238,,1610612763,1610612743,105,90
0022400239,,1610612757,1610612737,114,110
0022400240,,1610612752,1610612751,114,104
0022400241,,1610612741,1610612745,107,143
0022400242,,1610612760,1610612742,119,121
0022400243,,1610612746,1610612762,116,105
0022400244,,1610612765,1610612741,112,122
0022400245,,1610612748,1610612755,106,89
0022400246,,1610612752,1610612764,134,106
0022400247,,1610612761,1610612754,130,119
0022400248,,1610612749,1610612745,101,100
0022400249,,1610612756,1610612753,99,109
0022400250,,1610612758,1610612737,108,109
0022400251,,1610612746,1610612744,102,99
0022400021,,1610612738,1610612739,120,117
0022400022,,1610612751,1610612766,116,115
0022400023,,1610612763,1610612743,110,122
0022400024,,1610612742,1610612740,132,91
0022400025,,1610612759,1610612760,110,104
0022400026,,1610612747,1610612762,124,118
0022400252,,1610612739,1610612740,128,100
0022400253,,1610612749,1610612741,122,106
0022400254,,1610612745,1610612754,130,113
0022400255,,1610612763,1610612755,117,111
0022400256,,1610612760,1610612757,109,99
0022400257,,1610612756,1610612752,122,138
0022400258,,1610612744,1610612737,120,97
0022400259,,1610612746,1610612753,104,93
0022400260,,1610612766,1610612765,123,121
0022400261,,1610612761,1610612750,110,105
0022400262,,1610612759,1610612762,126,118
0022400263,,1610612747,1610612753,118,119
0022400027,,1610612755,1610612751,113,98
0022400028,,1610612764,1610612738,96,108
0022400032,,1610612740,1610612744,108,112
0022400029,,1610612749,1610612754,129,117
0022400030,,1610612741,1610612737,136,122
0022400031,,1610612745,1610612757,116,88
0022400033,,1610612743,1610612742,120,123
0022400034,,1610612746,1610612758,104,88
0022400264,,1610612762,1610612752,121,106
0022400265,,1610612753,1610612765,111,100
0022400266,,1610612741,1610612763,131,142
0022400267,,1610612745,1610612757,98,104
0022400268,,1610612749,1610612766,125,119
0022400269,,1610612759,1610612744,104,94
0022400270,,1610612747,1610612743,102,127
0022400271,,1610612738,1610612750,107,105
0022400272,,1610612754,1610612764,115,103
0022400273,,1610612748,1610612742,123,118
0022400274,,1610612755,1610612746,99,125
0022400275,,1610612739,1610612761,122,108
0022400276,,1610612758,1610612751,103,108
0022400277,,1610612766,1610612753,84,95
0022400278,,1610612765,1610612761,102,100
0022400279,,1610612754,1610612740,114,110
0022400280,,1610612737,1610612742,119,129
0022400281,,1610612738,1610612746,126,94
0022400282,,1610612763,1610612757,123,98
0022400283,,1610612743,1610612752,118,145
0022400284,,1610612744,1610612751,120,128
0022400285,,1610612758,1610612760,109,130
0022400035,,1610612764,1610612741,108,127
0022400036,,1610612748,1610612749,103,106
0022400037,,1610612750,1610612745,111,117
0022400038,,1610612762,1610612759,115,128
0022400039,,1610612756,1610612747,127,100
0022400286,,1610612766,1610612748,94,98
0022400287,,1610612739,1610612737,124,135
0022400288,,1610612754,1610612757,121,114
0022400289,,1610612753,1610612741,133,119
0022400290,,1610612755,1610612745,115,122
0022400291,,1610612764,1610612746,96,121
0022400292,,1610612742,1610612752,129,114
0022400293,,1610612763,1610612765,131,111
0022400294,,1610612750,1610612758,104,115
0022400295,,1610612740,1610612761,93,119
0022400296,,1610612759,1610612747,101,119
0022400297,,1610612756,1610612751,117,127
0022400298,,1610612762,1610612743,103,122
0022400299,,1610612744,1610612760,101,105
0022400040,,1610612766,1610612752,98,99
0022400041,,1610612737,1610612739,117,101
0022400042,,1610612763,1610612740,120,109
0022400043,,1610612751,1610612753,100,123
0022400044,,1610612750,1610612746,93,92
0022400045,,1610612754,1610612765,106,130
0022400046,,1610612748,1610612761,121,111
0022400047,,1610612741,1610612738,129,138
0022400048,,1610612747,1610612760,93,101
0022400049,,1610612757,1610612758,115,106
0022400300,,1610612766,1610612737,104,107
0022400301,,1610612765,1610612755,96,111
0022400302,,1610612749,1610612764,124,114
0022400303,,1610612756,1610612744,113,105
0022400304,,1610612762,1610612742,94,106
0022400305,,1610612751,1610612753,92,100
0022400306,,1610612763,1610612754,136,121
0022400307,,1610612739,1610612738,115,111
0022400308,,1610612752,1610612740,118,85
0022400309,,1610612761,1610612748,119,116
0022400310,,1610612745,1610612760,119,116
0022400311,,1610612762,1610612747,104,105
0022400312,,1610612757,1610612742,131,137
0022400313,,1610612758,1610612759,125,127
0022400314,,1610612746,1610612743,126,122
0022400315,,1610612737,1610612740,124,112
0022400316,,1610612738,1610612748,108,89
0022400317,,1610612741,1610612751,128,102
0022400318,,1610612750,1610612747,109,80
0022400050,,1610612766,1610612755,104,110
0022400051,,1610612739,1610612764,118,87
0022400052,,1610612765,1610612749,107,128
0022400053,,1610612752,1610612753,121,106
0022400054,,1610612761,1610612754,122,111
0022400055,,1610612760,1610612762,133,106
0022400056,,1610612742,1610612763,121,116
0022400057,,1610612756,1610612759,104,93
0022400058,,1610612743,1610612744,119,115
0022400059,,1610612758,1610612745,120,111
0022400060,,1610612746,1610612757,127,105
0022400319,,1610612738,1610612765,130,120
0022400320,,1610612751,1610612754,99,90
0022400321,,1610612748,1610612747,134,93
0022400322,,1610612755,1610612753,102,106
0022400323,,1610612749,1610612737,104,119
0022400324,,1610612746,1610612750,80,108
0022400325,,1610612739,1610612743,126,114
0022400326,,1610612764,1610612742,101,137
0022400327,,1610612752,1610612766,125,101
0022400328,,1610612761,1610612760,92,129
0022400329,,1610612763,1610612758,115,110
0022400330,,1610612740,1610612756,126,124
0022400331,,1610612759,1610612741,124,139
0022400332,,1610612744,1610612745,99,93
0022400333,,1610612755,1610612753,102,94
0022400334,,1610612737,1610612747,134,132
0022400335,,1610612738,1610612749,111,105
0022400336,,1610612741,1610612754,123,132
0022400337,,1610612759,1610612758,113,140
0022400338,,1610612744,1610612750,90,107
0022400339,,1610612757,1610612762,99,141
0022400340,,1610612766,1610612739,102,116
0022400341,,1610612764,1610612743,122,113
0022400342,,1610612740,1610612760,109,119
0022400343,,1610612752,1610612765,111,120
0022400344,,1610612761,1610612742,118,125
0022400345,,1610612738,1610612763,121,127
0022400346,,1610612748,1610612756,121,111
0022400347,,1610612741,1610612755,100,108
0022400348,,1610612751,1610612749,113,118
0022400349,,1610612754,1610612766,109,113
0022400350,,1610612737,1610612743,111,141
0022400351,,1610612748,1610612739,122,113
0022400352,,1610612753,1610612756,115,110
0022400353,,1610612764,1610612763,112,140
0022400354,,1610612759,1610612740,121,116
0022400355,,1610612744,1610612750,114,106
0022400356,,1610612746,1610612745,106,117
0022400357,,1610612758,1610612762,141,97
0022400358,,1610612747,1610612757,107,98
0022400359,,1610612761,1610612752,108,113
0022401201,,1610612749,1610612753,114,109
0022401203,,1610612760,1610612742,118,104
0022401202,,1610612752,1610612737,100,108
0022401204,,1610612745,1610612744,91,90
0022401205,,1610612738,1610612765,123,99
0022401206,,1610612748,1610612761,114,104
0022401207,,1610612740,1610612758,109,111
0022401208,,1610612739,1610612764,115,105
0022401209,,1610612755,1610612754,107,121
0022401210,,1610612750,1610612747,97,87
0022401211,,1610612763,1610612751,135,119
0022401212,,1610612741,1610612766,109,95
0022401213,,1610612743,1610612746,120,98
0022401214,,1610612762,1610612756,126,134
0022401215,,1610612757,1610612759,116,118
0022401229,,1610612749,1610612737,110,102
0022401230,,1610612760,1610612745,111,96
0022401216,,1610612754,1610612740,119,104
0022401217,,1610612764,1610612738,98,112
0022401227,,1610612753,1610612752,91,100
0022401218,,1610612759,1610612750,92,106
0022401219,,1610612756,1610612757,116,109
0022401228,,1610612744,1610612742,133,143
0022401220,,1610612747,1610612763,116,110
0022401221,,1610612765,1610612748,125,124
0022401222,,1610612766,1610612755,108,121
0022401223,,1610612761,1610612741,121,122
0022401224,,1610612751,1610612739,101,130
0022401225,,1610612758,1610612743,129,130
0022401226,,1610612746,1610612762,144,107
0062400001,,1610612760,1610612749,81,97
0022400360,,1610612765,1610612762,119,126
0022400361,,1610612753,1610612760,99,105
0022400362,,1610612764,1610612766,123,114
0022400363,,1610612738,1610612741,108,117
0022400364,,1610612761,1610612751,94,101
0022400365,,1610612745,1610612740,133,113
0022400366,,1610612763,1610612744,144,93
0022400370,,1610612759,1610612737,133,126
0022400368,,1610612742,1610612746,95,118
0022400369,,1610612756,1610612754,111,120
0022400367,,1610612750,1610612752,107,133
0022400371,,1610612757,1610612743,126,124
0022400372,,1610612758,1610612747,100,113
0022400373,,1610612755,1610612766,108,98
0022400374,,1610612739,1610612749,124,101
0022400375,,1610612748,1610612760,97,104
0022400376,,1610612758,1610612747,99,103
0022400377,,1610612753,1610612748,121,114
0022400378,,1610612737,1610612763,112,128
0022400379,,1610612751,1610612762,94,105
0022400380,,1610612739,1610612755,126,99
0022400381,,1610612741,1610612738,98,123
0022400382,,1610612749,1610612764,112,101
0022400383,,1610612750,1610612744,103,113
0022400384,,1610612740,1610612752,93,104
0022400385,,1610612742,1610612746,113,97
0022400386,,1610612759,1610612757,114,94
0022400387,,1610612756,1610612765,125,133
0022400388,,1610612761,1610612745,110,114
0022400389,,1610612758,1610612754,95,122
0022400390,,1610612740,1610612743,129,132
0022400391,,1610612766,1610612745,101,114
0022400392,,1610612739,1610612762,124,113
0022400393,,1610612753,1610612738,108,104
0022400394,,1610612755,1610612759,111,106
0022400395,,1610612737,1610612750,117,104
0022400396,,1610612748,1610612751,110,95
0022400397,,1610612752,1610612761,139,125
0022400398,,1610612741,1610612749,91,112
0022400399,,1610612763,1610612746,110,114
0022400400,,1610612760,1610612764,123,105
0022400401,,1610612742,1610612757,132,108
0022400402,,1610612743,1610612756,117,90
0022400403,,1610612744,1610612754,105,111
0022400404,,1610612747,1610612765,114,117
0022400405,,1610612752,1610612759,117,114
0022400406,,1610612742,1610612750,99,105
0022400407,,1610612738,1610612755,114,118
0022400408,,1610612744,1610612747,113,115
0022400409,,1610612756,1610612743,110,100
0022400410,,1610612754,1610612760,114,120
0022400411,,1610612753,1610612748,88,89
0022400412,,1610612764,1610612766,113,110
0022400413,,1610612737,1610612741,141,133
0022400414,,1610612763,1610612761,155,126
0022400415,,1610612749,1610612751,105,111
0022400416,,1610612740,1610612745,111,128
0022400417,,1610612757,1610612762,122,120
0022400418,,1610612758,1610612765,113,114
0022400419,,1610612753,1610612752,85,108
0022400420,,1610612738,1610612754,142,105
0022400421,,1610612751,1610612759,87,96
0022400422,,1610612745,1610612750,112,113
0022400423,,1610612740,1610612763,124,132
0022400424,,1610612743,1610612739,135,149
0022400425,,1610612756,1610612742,89,98
0022400426,,1610612746,1610612744,102,92
0022400427,,1610612737,1610612748,120,110
0022400428,,1610612766,1610612760,94,106
0022400429,,1610612764,1610612752,132,136
0022400430,,1610612741,1610612749,116,111
0022400431,,1610612744,1610612756,109,105
0022400432,,1610612743,1610612765,134,121
0022400433,,1610612762,1610612755,111,114
0022400434,,1610612757,1610612742,126,122
0022400435,,1610612747,1610612758,132,122
0022400436,,1610612753,1610612751,102,101
0022400437,,1610612738,1610612754,114,123
0022400438,,1610612761,1610612737,107,136
0022400439,,1610612745,1610612748,100,104
0022400440,,1610612760,1610612763,130,106
0022400441,,1610612750,1610612759,112,110
0022400442,,1610612766,1610612741,108,115
0022400443,,1610612764,1610612752,106,126
0022400444,,1610612740,1610612746,113,116
0022400445,,1610612762,1610612743,121,132
0022400446,,1610612744,1610612739,95,113
0022400447,,1610612757,1610612755,103,125
0022400448,,1610612758,1610612742,110,100
0022400449,,1610612738,1610612761,125,71
0022400450,,1610612754,1610612749,112,120
0022400451,,1610612759,1610612746,122,86
0022400452,,1610612760,1610612750,113,105
0022400453,,1610612756,1610612763,112,117
0022400454,,1610612747,1610612739,110,122
0022400455,,1610612765,1610612753,105,96
0022400456,,1610612764,1610612741,125,107
0022400457,,1610612748,1610612740,119,108
0022400458,,1610612752,1610612762,119,103
0022400459,,1610612761,1610612751,130,113
0022400460,,1610612745,1610612742,110,99
0022400461,,1610612743,1610612737,139,120
0022400462,,1610612758,1610612755,113,107
0022400463,,1610612748,1610612754,115,128
0022400464,,1610612750,1610612738,115,118
0022400465,,1610612749,1610612751,110,113
0022400466,,1610612760,1610612746,116,98
0022400467,,1610612744,1610612755,139,105
0022400468,,1610612747,1610612757,114,106
0022400469,,1610612765,1610612766,98,94
0022400470,,1610612761,1610612753,97,106
0022400471,,1610612745,1610612738,86,109
0022400472,,1610612740,1610612764,132,120
0022400473,,1610612760,1610612752,117,107
0022400474,,1610612742,1610612739,122,134
0022400475,,1610612743,1610612759,110,113
0022400476,,1610612758,1610612763,138,133
0022400477,,1610612747,1610612737,119,102
0022400478,,1610612751,1610612755,94,123
0022400479,,1610612765,1610612750,119,105
0022400480,,1610612754,1610612756,126,108
0022400481,,1610612748,1610612762,100,136
0022400482,,1610612741,1610612752,139,126
0022400483,,1610612749,1610612757,102,105
0022400484,,1610612759,1610612743,111,122
0022400485,,1610612744,1610612763,121,113
0022400486,,1610612746,1610612737,131,105
0022400487,,1610612760,1610612738,105,92
0022400488,,1610612739,1610612766,115,105
0022400489,,1610612764,1610612740,98,110
0022400490,,1610612753,1610612762,92,105
0022400491,,1610612745,1610612747,119,115
0022400492,,1610612744,1610612758,99,129
0022400493,,1610612765,1610612757,118,115
0022400494,,1610612755,1610612756,99,109
0022400495,,1610612751,1610612754,99,113
0022400496,,1610612752,1610612753,94,103
0022400497,,1610612761,1610612749,104,128
0022400498,,1610612741,1610612759,114,110
0022400499,,1610612763,1610612742,119,104
0022400500,,1610612750,1610612746,108,106
0022400501,,1610612758,1610612748,123,118
0022400502,,1610612766,1610612756,115,104
0022400503,,1610612764,1610612745,112,135
0022400504,,1610612742,1610612747,118,97
0022400505,,1610612740,1610612750,97,104
0022400506,,1610612762,1610612737,121,124
0022400507,,1610612743,1610612738,106,118
0022400508,,1610612744,1610612748,98,114
0022400509,,1610612739,1610612760,129,122
0022400510,,1610612754,1610612741,129,113
0022400512,,1610612755,1610612764,109,103
0022400511,,1610612752,1610612761,112,98
0022400513,,1610612751,1610612765,98,113
0022400514,,1610612740,1610612757,100,119
0022400515,,1610612743,1610612746,126,103
0022400516,,1610612749,1610612759,121,105
0022400517,,1610612739,1610612761,132,126
0022400518,,1610612765,1610612744,104,107
0022400519,,1610612753,1610612750,89,104
0022400521,,1610612742,1610612757,117,111
0022400520,,1610612763,1610612745,115,119
0022400522,,1610612756,1610612737,123,115
0022400523,,1610612762,1610612748,92,97
0022400525,,1610612754,1610612744,108,96
0022400526,,1610612753,1610612749,106,109
0022400527,,1610612755,1610612740,115,123
0022400528,,1610612738,1610612758,97,114
0022400529,,1610612752,1610612760,101,126
0022400530,,1610612741,1610612764,138,105
0022400531,,1610612743,1610612751,124,105
0022400533,,1610612756,1610612762,114,106
0022400534,,1610612765,1610612761,123,114
0022400535,,1610612750,1610612763,125,127
0022400536,,1610612757,1610612748,98,119
0022400539,,1610612752,1610612749,140,106
0022400540,,1610612742,1610612743,101,112
0022400541,,1610612741,1610612758,119,124
0022400542,,1610612738,1610612740,120,119
0022400543,,1610612739,1610612754,93,108
0022400544,,1610612753,1610612755,104,99
0022400545,,1610612764,1610612760,95,136
0022400546,,1610612762,1610612751,112,111
0022400547,,1610612756,1610612766,120,113
0022400548,,1610612764,1610612750,106,120
0022400549,,1610612752,1610612765,119,124
0022400550,,1610612761,1610612744,104,101
0022400551,,1610612745,1610612763,120,118
0022400552,,1610612747,1610612759,102,126
0022400553,,1610612746,1610612748,109,98
0022400554,,1610612754,1610612739,117,127
0022400555,,1610612755,1610612760,102,118
0022400556,,1610612737,1610612756,122,117
0022400557,,1610612741,1610612740,113,119
0022400558,,1610612749,1610612758,130,115
0022400559,,1610612742,1610612743,99,118
0022400560,,1610612757,1610612751,114,132
0022400561,,1610612755,1610612752,119,125
0022400562,,1610612761,1610612738,110,97
0022400563,,1610612741,1610612737,94,110
0022400564,,1610612749,1610612753,122,93
0022400566,,1610612740,1610612742,119,116
0022400567,,1610612759,1610612763,115,129
0022400568,,1610612743,1610612745,108,128
0022400569,,1610612762,1610612766,112,117
0022400565,,1610612750,1610612744,115,116
0022400570,,1610612747,1610612748,117,108
0022400571,,1610612746,1610612751,126,67
0022400572,,1610612765,1610612754,100,111
0022400573,,1610612764,1610612756,123,130
0022400574,,1610612760,1610612739,134,114
0022400575,,1610612757,1610612746,89,118
0022400576,,1610612758,1610612745,132,127
0022400577,,1610612738,1610612753,121,94
0022400578,,1610612752,1610612750,99,116
0022400579,,1610612748,1610612743,113,133
0022400580,,1610612749,1610612761,130,112
0022400581,,1610612740,1610612762,136,123
0022400584,,1610612741,1610612766,123,125
0022400583,,1610612742,1610612760,106,98
0022400582,,1610612759,1610612763,112,140
0022400585,,1610612747,1610612751,102,101
0022400586,,1610612765,1610612756,121,125
0022400587,,1610612738,1610612737,115,119
0022400588,,1610612754,1610612755,115,102
0022400589,,1610612744,1610612764,122,114
0022400590,,1610612750,1610612739,117,124
0022400591,,1610612757,1610612745,103,125
0022400592,,1610612748,1610612759,128,107
0022400593,,1610612753,1610612743,100,113
0022400594,,1610612749,1610612755,123,109
0022400595,,1610612760,1610612751,127,101
0022400596,,1610612746,1610612747,116,102
0022400597,,1610612757,1610612741,113,102
0022400598,,1610612758,1610612764,123,100
